"PhoneNumber","Friendly","Type","AreaCode","MatchWord","MatchDigits","Region","Locality","RateCenter","Lata","Score"
"+17272337767","(727) 233-7767","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272337771","(727) 233-7771","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272337906","(727) 233-7906","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272337934","(727) 233-7934","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272337954","(727) 233-7954","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272338005","(727) 233-8005","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272338186","(727) 233-8186","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272338508","(727) 233-8508","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272338595","(727) 233-8595","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272338609","(727) 233-8609","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272972338","(727) 297-2338","Local","727","SAFE","7233","FL","Saint Petersburg","STPETERSBG","952","70"
"+17274744637","(727) 474-4637","Local","727","SIGN","7446","FL","Clearwater","CLEARWATER","952","70"
"+17274744639","(727) 474-4639","Local","727","SIGN","7446","FL","Clearwater","CLEARWATER","952","70"
"+17274744640","(727) 474-4640","Local","727","SIGN","7446","FL","Clearwater","CLEARWATER","952","70"
"+17274744650","(727) 474-4650","Local","727","SIGN","7446","FL","Clearwater","CLEARWATER","952","70"
"+17274744651","(727) 474-4651","Local","727","SIGN","7446","FL","Clearwater","CLEARWATER","952","70"
"+17274754331","(727) 475-4331","Local","727","LIFE","5433","FL","Clearwater","CLEARWATER","952","70"
"+17275974462","(727) 597-4462","Local","727","SIGN","7446","FL","New Port Richey","NWPTRICHEY","952","70"
"+17276072334","(727) 607-2334","Local","727","SAFE","7233","US",,,,"70"
"+17276074461","(727) 607-4461","Local","727","SIGN","7446","US",,,,"70"
"+17276074463","(727) 607-4463","Local","727","SIGN","7446","US",,,,"70"
"+17276074469","(727) 607-4469","Local","727","SIGN","7446","US",,,,"70"
"+17276154331","(727) 615-4331","Local","727","LIFE","5433","US",,,,"70"
"+17278554339","(727) 855-4339","Local","727","LIFE","5433","US",,,,"70"
"+19044354331","(904) 435-4331","Local","904","LIFE","5433","FL","Jacksonville Beach","JACKSOLBCH","45204","70"
"+19044472334","(904) 447-2334","Local","904","SAFE","7233","FL","Fernandina Beach","FERNADNBCH","452","70"
"+19044543315","(904) 454-3315","Local","904","LIFE","5433","FL","Starke","STARKE","452","70"
"+19045433255","(904) 543-3255","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433337","(904) 543-3337","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433368","(904) 543-3368","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433469","(904) 543-3469","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433523","(904) 543-3523","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433549","(904) 543-3549","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433595","(904) 543-3595","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433597","(904) 543-3597","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433661","(904) 543-3661","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433673","(904) 543-3673","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433759","(904) 543-3759","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433829","(904) 543-3829","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433881","(904) 543-3881","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433903","(904) 543-3903","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433925","(904) 543-3925","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433929","(904) 543-3929","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433933","(904) 543-3933","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045433998","(904) 543-3998","Local","904","LIFE","5433","FL","Ponte Vedra Beach","PNTVDRABCH","45204","70"
"+19045744610","(904) 574-4610","Local","904","SIGN","7446","FL","Jacksonville","JACKSONVL","452","70"
"+19046474467","(904) 647-4467","Local","904","SIGN","7446","FL","Jacksonville","JACKSONVL","452","70"
"+19048672334","(904) 867-2334","Local","904","SAFE","7233","FL","Jacksonville Beach","JACKSOLBCH","452","70"
